roi,subject,model,corr_type,r
Primary_Visual,sub-15,Gist,full,0.19835479870689943
Primary_Visual,sub-16,Gist,full,0.14428170995252185
Primary_Visual,sub-17,Gist,full,0.07032686676734613
Primary_Visual,sub-18,Gist,full,0.012641735302066845
Primary_Visual,sub-19,Gist,full,0.10274370590466071
Primary_Visual,sub-20,Gist,full,0.03156184121231676
Primary_Visual,sub-01,Gist,semipartial,-0.029095149672657205
Primary_Visual,sub-02,Gist,semipartial,0.1459414873724413
Primary_Visual,sub-03,Gist,semipartial,-0.03707356393398611
Primary_Visual,sub-04,Gist,semipartial,0.06529382912311142
Primary_Visual,sub-05,Gist,semipartial,0.0748645485314392
Primary_Visual,sub-06,Gist,semipartial,0.04396690790088304
Primary_Visual,sub-07,Gist,semipartial,0.07657342154278043
Primary_Visual,sub-08,Gist,semipartial,-0.04528831413257136
Primary_Visual,sub-09,Gist,semipartial,0.18178866480283531
Primary_Visual,sub-10,Gist,semipartial,0.03528453270309784
Primary_Visual,sub-11,Gist,semipartial,0.16190305597638738
Primary_Visual,sub-12,Gist,semipartial,0.15019323587382338
Primary_Visual,sub-13,Gist,semipartial,0.10416416012113025
Primary_Visual,sub-14,Gist,semipartial,0.06381424234698248
Primary_Visual,sub-15,Gist,semipartial,0.200054702207233
Primary_Visual,sub-16,Gist,semipartial,0.1457864478362914
Primary_Visual,sub-17,Gist,semipartial,0.07281856096149361
Primary_Visual,sub-18,Gist,semipartial,0.012479213563699274
Primary_Visual,sub-19,Gist,semipartial,0.10484510076472134
Primary_Visual,sub-20,Gist,semipartial,0.03265967041685904
Early_Visual,sub-01,Animacy,full,0.11003037993586767
Early_Visual,sub-02,Animacy,full,0.009463799376657544
Early_Visual,sub-03,Animacy,full,0.05384744364070594
Early_Visual,sub-04,Animacy,full,-0.005903478006602335
Early_Visual,sub-05,Animacy,full,0.11649619492271517
Early_Visual,sub-06,Animacy,full,0.04627572548514511
Early_Visual,sub-07,Animacy,full,0.11955835849615447
Early_Visual,sub-08,Animacy,full,0.029126059350767827
Early_Visual,sub-09,Animacy,full,0.02493026811168101
Early_Visual,sub-10,Animacy,full,0.1033080751882627
Early_Visual,sub-11,Animacy,full,-0.023974562702308317
Early_Visual,sub-12,Animacy,full,-0.01903651619474736
Early_Visual,sub-13,Animacy,full,0.0029528053417779516
Early_Visual,sub-14,Animacy,full,0.01967956047791774
Early_Visual,sub-15,Animacy,full,0.014585144120201598
Early_Visual,sub-16,Animacy,full,0.04772984115488442
Early_Visual,sub-17,Animacy,full,-0.05794871515252901
Early_Visual,sub-18,Animacy,full,0.07192461169737412
Early_Visual,sub-19,Animacy,full,0.03791436974074449
Early_Visual,sub-20,Animacy,full,0.0677447650505018
Early_Visual,sub-01,Animacy,semipartial,0.07706296616430593
Early_Visual,sub-02,Animacy,semipartial,-0.025450479240065358
Early_Visual,sub-03,Animacy,semipartial,0.05808109993050214
Early_Visual,sub-04,Animacy,semipartial,-0.025479227865331872
Early_Visual,sub-05,Animacy,semipartial,0.12041666752721294
Early_Visual,sub-06,Animacy,semipartial,0.015749144075804612
Early_Visual,sub-07,Animacy,semipartial,0.12223978240178647
Early_Visual,sub-08,Animacy,semipartial,0.0037330755460717375
Early_Visual,sub-09,Animacy,semipartial,-0.004091638394417244
Early_Visual,sub-10,Animacy,semipartial,0.06149787437625671
Early_Visual,sub-11,Animacy,semipartial,-0.02409505053839352
Early_Visual,sub-12,Animacy,semipartial,-0.05043807687445988
Early_Visual,sub-13,Animacy,semipartial,-0.041729089490811666
Early_Visual,sub-14,Animacy,semipartial,-0.014785958128741348
Early_Visual,sub-15,Animacy,semipartial,0.0103986108690223
Early_Visual,sub-16,Animacy,semipartial,0.01912353805998871
Early_Visual,sub-17,Animacy,semipartial,-0.08144343806975958
Early_Visual,sub-18,Animacy,semipartial,0.04046786973662464
Early_Visual,sub-19,Animacy,semipartial,0.005448846249115607
Early_Visual,sub-20,Animacy,semipartial,0.03885070380736026
Early_Visual,sub-01,Category,full,0.11432950629340792
Early_Visual,sub-02,Category,full,0.10441009385639988
Early_Visual,sub-03,Category,full,-0.004133979266824458
Early_Visual,sub-04,Category,full,0.05900541287008845
