Row	control_person	clutter_person	deletion_person	occlusion_person	scrambling_person	control_cat	clutter_cat	deletion_cat	occlusion_cat	scrambling_cat	control_bird	clutter_bird	deletion_bird	occlusion_bird	scrambling_bird	control_banana	clutter_banana	deletion_banana	occlusion_banana	scrambling_banana	control_firehydrant	clutter_firehydrant	deletion_firehydrant	occlusion_firehydrant	scrambling_firehydrant	control_tree	clutter_tree	deletion_tree	occlusion_tree	scrambling_tree	control_bus	clutter_bus	deletion_bus	occlusion_bus	scrambling_bus	control_building	clutter_building	deletion_building	occlusion_building	scrambling_building
control_person	0.132454362893778	0.920502772777744	0.153198402464727	0.113090273408291	0.85708669637487	0.160541003236786	0.900804294096669	0.144109937026914	0.124623551344905	0.846032999818914	0.2054228793816	1.00229391323947	0.192961529207036	0.132920463619986	0.909866029334557	0.335831893324274	1.08850508641038	0.282419073455311	0.175905255262273	0.908912668542556	0.127598430692114	0.973266981732319	0.143564098341502	0.114257547866461	0.937004920957266	0.17055644952103	0.814904247519503	0.185362510947394	0.120966076773331	0.937250394407206	0.203924878185625	0.997337837955445	0.180969261682215	0.136941760647958	0.936902629014165	0.192331086324355	0.906380916388079	0.154784748025976	0.152228981966637	0.911776921277612
clutter_person	0.920502772777744	0.390802672595183	0.912888343779284	0.873896566402475	0.542336481811794	0.950635654177774	0.395672555542314	0.939681841582519	0.900015760472728	0.587901729377996	0.94965139775957	0.52623571729265	0.932316802516822	0.887812665406259	0.693575483012182	0.94090691795597	0.480916756908504	0.927276316439237	0.877268359363263	0.657911025668735	0.918569103188503	0.511928197784425	0.915114472602904	0.873556008383141	0.468066069550442	0.987232321219721	0.468320539175015	0.97509929328229	0.921713438758005	0.822954706217952	0.908499661173293	0.499934247065105	0.905890751119896	0.872590191490632	0.497813081969251	0.915123705955968	0.454906283930246	0.914345498907216	0.889692663528037	0.5417504936531
deletion_person	0.153198402464727	0.912888343779284	0.161618689260048	0.119347249618125	0.839641775949	0.173231531037942	0.890345978202366	0.156207254693689	0.132223632590896	0.816490922823779	0.221279167134684	0.994717751432335	0.20322972014973	0.140645667948487	0.887898762921373	0.327049306563511	1.07450639808478	0.270008757212569	0.169128769906783	0.883072643274004	0.139014534317676	0.965051010473976	0.148360594999776	0.119644918593536	0.916058481677672	0.19677527167282	0.812647238340525	0.205252423386772	0.135073233996169	0.920133160883093	0.210265750954319	0.984146216384381	0.185384450322639	0.139413908159639	0.921390774105666	0.212151442346631	0.904449873927383	0.173887572199649	0.166824419999633	0.908181648470161
occlusion_person	0.113090273408291	0.873896566402475	0.119347249618125	0.0506419319672464	0.783374584573668	0.128133140222191	0.838067710390773	0.107803122903677	0.0724029317457343	0.741757373965165	0.183852330384888	0.958178089952005	0.157335909547242	0.0795411159208208	0.838604617956301	0.269791189506657	1.03727805602079	0.212845027478492	0.0966912124709924	0.816615246521199	0.1006795021956	0.930860234218103	0.104506759591614	0.0557125832608733	0.871972113092805	0.17609950946405	0.77391622085903	0.178042052032589	0.087329273626759	0.907148414146951	0.169154529156928	0.953479341658618	0.138620029729336	0.0787415055210978	0.890006193209158	0.186393742019745	0.877906747264891	0.137760868458884	0.121505746330935	0.892272843499471
scrambling_person	0.85708669637487	0.542336481811794	0.839641775949	0.783374584573668	0.423908912186857	0.902400185102891	0.529559856183931	0.879291089380573	0.827304672235016	0.491438869202942	0.90012162151207	0.616658533194099	0.870650483540881	0.808685870823767	0.615147382954055	0.907313536988169	0.570491527535735	0.872893109715329	0.802466970912932	0.652184447654304	0.893690837005997	0.569847969096329	0.864827331938278	0.801332571294862	0.561872463583766	0.989364662618978	0.554911225687258	0.957116415933544	0.886024244363441	0.793415375141277	0.919159003285933	0.600409883786917	0.88678646881613	0.832266376554881	0.717621347684359	0.909907187771142	0.607203431361491	0.883687586729808	0.853177378084741	0.609672769718104
control_cat	0.160541003236786	0.950635654177774	0.173231531037942	0.128133140222191	0.902400185102891	0.102509044159781	0.91988148404801	0.101025659860406	0.103890917031514	0.847225984546624	0.193920808436845	1.00946502834741	0.184393627874158	0.125581560328708	0.917992069847756	0.256195080250339	1.10946783658728	0.206767538233246	0.140566060947997	0.903756556003414	0.127908484759318	1.00071335496262	0.162533262639414	0.106849250163555	0.955793839443217	0.189275487809901	0.82289290334158	0.201068219380736	0.11453005957518	0.950243527519057	0.158571109485419	1.00009906213258	0.143778698114333	0.122025718844095	0.939871813942873	0.161445481760498	0.928360507434435	0.128778079829959	0.124199595843452	0.934384944659709
clutter_cat	0.900804294096669	0.395672555542314	0.890345978202366	0.838067710390773	0.529559856183931	0.91988148404801	0.361779807789505	0.907133664519655	0.865042166828055	0.54906040010246	0.925978852374345	0.512364426569732	0.903839254070431	0.854804977634396	0.677431400314621	0.905549803552536	0.466317602954555	0.893584741311458	0.83791982038411	0.606631989434328	0.903393930352739	0.506844650700701	0.895295353117682	0.843123360216478	0.463343844746617	0.970119706301428	0.455532947224737	0.95436714991883	0.895234162898666	0.834796543013181	0.892970595058338	0.511232710269931	0.886333139324045	0.845668613908447	0.497463347531046	0.916912671272198	0.457483106429832	0.902451345648451	0.875318126943626	0.558590687903425
deletion_cat	0.144109937026914	0.939681841582519	0.156207254693689	0.107803122903677	0.879291089380573	0.101025659860406	0.907133664519655	0.0943286111835026	0.0910968382104039	0.826539468985466	0.185076109171978	1.00275011373317	0.17170744548557	0.110639936931919	0.90221596675872	0.258263295488473	1.09762003636188	0.207525709461755	0.128983242328807	0.887350698771485	0.117578949966975	0.990025753377834	0.145783702264153	0.0918141772995514	0.939687934959354	0.178183852800883	0.81633364935562	0.188400042617027	0.102581156630879	0.935896516442469	0.156001701514716	0.994197624153679	0.138467910909898	0.109595245144426	0.930217946218772	0.162044964948622	0.920799426215716	0.124395801086204	0.119322970465356	0.925706226464413
occlusion_cat	0.124623551344905	0.900015760472727	0.132223632590896	0.0724029317457343	0.827304672235016	0.103890917031514	0.865042166828055	0.0910968382104039	0.0687662435118127	0.778614507739037	0.176279515331887	0.973789312461481	0.15619705663909	0.0848509732661761	0.867502363875508	0.256349674391895	1.062067237151	0.200217018385668	0.101232486704927	0.846137290411697	0.102722312715926	0.955342933766883	0.11681563174823	0.0643295192061556	0.904326855517792	0.170541528880941	0.782510685404238	0.174806537918296	0.0836809344357891	0.927192616717519	0.14883566656668	0.966226928903504	0.127507366819591	0.0824033010211114	0.906219278515159	0.164925759481939	0.894509100840136	0.122594267544573	0.109230599006675	0.907763528910414
scrambling_cat	0.846032999818915	0.587901729377996	0.816490922823779	0.741757373965165	0.491438869202942	0.847225984546625	0.54906040010246	0.826539468985466	0.778614507739037	0.405997626669492	0.869278946705873	0.670932420963956	0.827516976123109	0.765027825966572	0.586019619207884	0.807451127690394	0.632295079660364	0.776638749130865	0.724278266490551	0.537300757517346	0.861475896350755	0.637199353462601	0.832301397980557	0.754395160402074	0.551099554111751	0.978053939138582	0.635704620586168	0.938347521658942	0.847187077444145	0.770889290844204	0.862866151554785	0.662501762801983	0.830196799538651	0.775879871545227	0.672600846320377	0.897859215899312	0.641271284737431	0.859047556363593	0.824599392667511	0.7246028353478
