	person	cat	bird	banana	firehydrant	tree	bus	building
person	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
cat	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0
bird	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0
banana	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0
firehydrant	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
tree	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0
bus	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0
building	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0
