,person,cat,bird,banana,firehydrant,tree,bus,building
person,0.3098554928939426,0.3524984824692278,0.32277067668475845,0.26930371016591614,0.2561950191741896,0.27125829006822266,0.3358317751682002,0.366198647273617
cat,0.35249848246922794,0.27005519078682094,0.23646641128700707,0.23281592522297526,0.19392075451290947,0.18696713625746197,0.20542281418349934,0.2270460125030428
bird,0.3227706766847584,0.23646641128700707,0.1377065843500184,0.17842978603191503,0.16144541393363818,0.1424731498181445,0.1923309233236117,0.21967374711583254
banana,0.2693037101659162,0.2328159252229752,0.17842978603191503,0.10391064078645401,0.15857105948205072,0.12991093817619018,0.20392483007752737,0.19979870211144501
firehydrant,0.2561950191741895,0.19392075451290947,0.16144541393363818,0.15857105948205072,0.11389889970541432,0.12790848114359754,0.1605408983947418,0.18927545646968683
tree,0.2712582900682227,0.18696713625746203,0.1424731498181445,0.12991093817619018,0.12790848114359754,0.07010758658448556,0.12759835942743852,0.1409675143151195
bus,0.3358317751682002,0.2054228141834993,0.1923309233236117,0.20392483007752735,0.1605408983947418,0.12759835942743852,0.14717139437625237,0.17055640449579992
building,0.36619864727361706,0.22704601250304277,0.2196737471158325,0.19979870211144501,0.18927545646968677,0.14096751431511947,0.1705564044957999,0.13728599108586304
